,Final Wealth,CAGR,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
GMV,1.6354335576962564,0.05058531613175932,0.0432913248800669,1.1616649465630868,-0.09819024222253647
SPY,2.519200218005954,0.09711981574799511,0.16946860351550028,0.6322060955862565,-0.3371726396316139
QQQ,4.132945113083446,0.15298119698949653,0.19193611926025275,0.8382313866031721,-0.28559369635290954
MV_gamma_1,4.083150724265804,0.1515800318281264,0.1680113000906438,0.9245937343421544,-0.25120661428022784
MV_gamma_2,3.1940370884107843,0.12355571542886734,0.14651932208649168,0.8687641707142572,-0.21010694493288706
MV_gamma_5,2.5062373870234196,0.09655216721341042,0.10402331089125087,0.9383487375728374,-0.15839731639614774
MV_gamma_10,2.172299965026951,0.08093425223353234,0.07764160442525289,1.041421169864869,-0.14170769080671308
MV_gamma_20,1.8617466654344534,0.06433420729697104,0.054944101826532074,1.1624115033525768,-0.10725172958761131
MV_gamma_50,1.7691364987918858,0.05890022145407747,0.0444717694258305,1.3092957247555257,-0.08414561798241227
MV_gamma_100,1.7281115920386265,0.0564108137855972,0.043656691489058395,1.278994443798216,-0.09471641401239306
