Strategy,Final Wealth,CAGR,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
GMV,1.6318398164850478,0.05035349351214746,0.04329538945349533,1.1564617996939714,-0.09819024222253647
SPY,2.519200218005954,0.09711981574799511,0.16946860351550028,0.6322060955862565,-0.3371726396316139
QQQ,4.132945113083446,0.15298119698949653,0.19193611926025275,0.8382313866031721,-0.28559369635290954
MV_gamma_1,4.043414072162177,0.15045080876027606,0.16800409871202,0.9187835260313736,-0.25133316750283885
MV_gamma_2,3.1523039061624445,0.12207427769787693,0.14651417892034324,0.8597803949256388,-0.2101890530684528
MV_gamma_5,2.4634887294510337,0.09466127741188402,0.10401737209586598,0.9217985504490792,-0.15940906173507297
MV_gamma_10,2.1321911890156553,0.07891526101139545,0.07764162577621546,1.0173343628181342,-0.14170769080671308
MV_gamma_20,1.8314020037172907,0.06258102824573486,0.054956913073332045,1.1321487222691822,-0.1072517295876112
MV_gamma_50,1.7576201909214784,0.05820669506237741,0.04447993283430913,1.2943308743664377,-0.08414561798241238
MV_gamma_100,1.722215666267999,0.056048686346356735,0.04366149482498428,1.271004430220949,-0.09471641401239306
