Gamma,Formation Date,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
1,2010-04-12,1.2181655941326795e-10,5.5723503442696e-10,1.4413024388796664e-10,1.0460144751279173e-10,0.08473429778664582,1.3254922194053842e-09,8.52400152389721e-10,7.015854829813102e-10,3.940103955989927e-10,0.9152656975502756,6.753349145190856e-11,3.9427337900972784e-10
1,2010-05-03,5.799002779883196e-10,2.036130190567738e-09,8.017722239552307e-10,5.001308292842331e-10,0.03004113722814591,3.804117037385518e-09,2.925612427642528e-09,2.7645184117853416e-09,1.792923930420721e-09,0.9699588364552981,2.939927433680574e-10,1.0817457947953125e-08
1,2010-06-01,1.0280251566046634e-09,1.8166004839129216e-09,1.206939675637545e-09,9.159938743260359e-10,5.593681999543587e-09,1.0612576767736439e-08,1.7976889026275793e-08,4.210136748341074e-09,2.0920125899908756e-09,0.9999999448115483,7.214993352654393e-10,9.014096061518744e-09
1,2010-07-01,2.5269327810204944e-09,3.4940164198687898e-09,2.794829699489809e-09,2.2327229200880425e-09,6.011056891858488e-09,2.8994063114064e-08,1.8393108675497675e-07,1.3220627903201186e-08,6.6528036918503655e-09,0.9999997205666711,2.081017942286785e-09,2.7494170860492085e-08
1,2010-08-02,1.5831120958111849e-10,2.2153667440659939e-10,1.8086976818680555e-10,1.4351829895607983e-10,5.572322307038463e-10,7.310057909736965e-09,0.013079392350012067,2.81804075322159e-09,1.592464714376975e-09,0.9253889026828114,1.436144152148421e-10,0.06153169184153061
1,2010-09-01,3.9779062593992794e-11,5.2447349075229426e-11,4.5691763500925776e-11,3.634472089374771e-11,1.673604286458736e-10,3.700365340675404e-10,0.052225206823346026,3.1561810238853345e-10,1.2348345759135752e-10,0.936318731921827,3.378479136922043e-11,0.011456060070280768
1,2010-10-01,3.0821898507137713e-10,4.68179443261162e-10,3.951532955302772e-10,2.8349099408484114e-10,1.4171312438861011e-09,5.061689556868556e-09,0.09152510298113882,3.660470904114156e-09,1.0975178927608884e-09,0.8762020967767891,2.65617922196513e-10,0.032272787284601784
1,2010-11-01,5.016232689221105e-10,7.43424685459694e-10,6.268589404219527e-10,4.3684497977900884e-10,7.256764668765145e-10,0.02441244322752687,0.0003183635716116813,2.06915875306181e-08,3.3886968649001263e-09,0.9183408516600089,4.3782267030685273e-10,0.05692831398831709
1,2010-12-01,7.34154746031155e-11,1.3538872700971087e-10,1.294842902726195e-10,6.455746281965185e-11,1.170088485572848e-10,5.93649288895572e-10,4.390801529628661e-10,6.034045330408493e-10,3.6109840213008653e-10,0.9282302081218234,5.901938899038707e-11,0.07176978930206993
1,2011-01-03,1.0582449979383455e-10,2.35185573238056e-10,2.2322151134749804e-10,9.177263246849625e-11,2.3840318720707214e-10,7.682905925433245e-10,6.040445953301098e-10,1.38606396966693e-09,1.5686254842815937e-09,0.8585660532434631,9.590400806635643e-11,0.1414339414392008
1,2011-02-01,4.6132940588829395e-09,0.02377422080392603,1.0098046808881836e-08,3.733074575786647e-09,7.915027394004526e-09,1.372709943822671e-07,4.884684179087319e-08,3.4459075544442165e-07,0.1096093058492489,0.695104890420337,4.375008184338079e-09,0.17151102148344566
1,2011-03-01,5.570958986805847e-11,0.23468587185315587,1.559633799143078e-10,4.6501826231209197e-11,4.2970110075769395e-11,3.919528871904227e-10,9.188380865866782e-10,1.7615124804919515e-09,0.0043520533692844275,0.6348726914804983,5.8004075014626796e-11,0.12608937986560886
1,2011-04-01,2.869778260349816e-10,0.15551906130193813,4.9418635231466e-09,1.9691237582799037e-10,9.597245261833167e-10,4.6185528419660955e-10,5.124034642058596e-10,1.4851094651827081e-09,6.946414331823292e-09,0.7485510599213933,1.979228644239934e-10,0.09592986278748494
1,2011-05-02,7.365336105989245e-11,3.435097721526387e-10,7.006107453843076e-10,5.5532771502921397e-11,2.2775976265383727e-10,5.725992731287303e-11,5.835488262011939e-11,1.2216041895763174e-10,1.858530050093926e-10,0.9160901852401266,4.2810191611527666e-11,0.08390981289236857
1,2011-06-01,1.3099348384956635e-10,3.484859150666129e-10,4.3993757149765477e-10,1.0798284140771274e-10,1.786485927703112e-10,4.431388209902777e-10,7.922275590332178e-10,1.2040420793232325e-09,9.59741253131317e-10,0.8758098249443534,1.1176789691956852e-10,0.12419017033868054
1,2011-07-01,3.785409804754907e-09,2.377755571973934e-08,1.2757508336441339e-08,2.948483924945534e-09,6.0709089513274935e-09,1.828277680645795e-08,1.9007042759401373e-08,1.866376949532075e-07,1.6226615956670366e-07,0.8139909052663892,2.9499657293831934e-09,0.18600865625010435
1,2011-08-01,1.3790939304392797e-10,6.953323295003729e-10,2.2240214581023018e-10,1.1543289491978978e-10,4.927704657644884e-10,2.714928512421318e-10,3.6912033753737783e-10,8.570292541362495e-10,7.574812695470834e-10,0.8704462577799023,1.1172760319790263e-10,0.12955373818939928
1,2011-09-01,2.482911778555687e-10,5.361141428111343e-10,3.4666093390892e-10,2.2276215208042648e-10,1.287118885734844e-09,1.4496877005426418e-10,1.9148874155709908e-10,2.6909625884010064e-10,3.877064018230212e-10,0.9982057845664016,1.5629896231277514e-10,0.0017942116430919714
1,2011-10-03,2.034004970944669e-09,0.0524061922546395,2.3586776838730486e-09,1.7742427370286275e-09,6.895968997985044e-09,2.393723380016964e-09,9.50915389018823e-09,9.455200105943503e-09,3.5915279754255163e-09,0.947593582563701,1.5769145828791874e-09,1.855922452763185e-07
